DATE,CSUSHPISA
1987-01-01,63.964
1987-02-01,64.42399999999999
1987-03-01,64.734
1987-04-01,65.131
1987-05-01,65.564
1987-06-01,66.071
1987-07-01,66.507
1987-08-01,66.937
1987-09-01,67.329
1987-10-01,67.737
1987-11-01,68.10600000000001
1987-12-01,68.50399999999999
1988-01-01,68.857
1988-02-01,69.26100000000001
1988-03-01,69.63600000000001
1988-04-01,69.975
1988-05-01,70.426
1988-06-01,70.888
1988-07-01,71.354
1988-08-01,71.79899999999999
1988-09-01,72.24
1988-10-01,72.635
1988-11-01,73.072
1988-12-01,73.46300000000001
1989-01-01,73.945
1989-02-01,74.381
1989-03-01,74.77600000000001
1989-04-01,75.084
1989-05-01,75.305
1989-06-01,75.479
1989-07-01,75.656
1989-08-01,75.834
1989-09-01,76.055
1989-10-01,76.282
1989-11-01,76.521
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.297
1990-06-01,77.258
1990-07-01,77.138
1990-08-01,77.009
1990-09-01,76.85
1990-10-01,76.699
1990-11-01,76.37
1990-12-01,76.184
1991-01-01,75.915
1991-02-01,75.733
1991-03-01,75.569
1991-04-01,75.564
1991-05-01,75.764
1991-06-01,75.992
1991-07-01,76.082
1991-08-01,76.109
1991-09-01,76.193
1991-10-01,76.074
1991-11-01,76.014
1991-12-01,76.055
1992-01-01,76.085
1992-02-01,76.155
1992-03-01,76.27600000000001
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.331
1992-07-01,76.263
1992-08-01,76.23
1992-09-01,76.238
1992-10-01,76.375
1992-11-01,76.558
1992-12-01,76.673
1993-01-01,76.783
1993-02-01,76.836
1993-03-01,76.867
1993-04-01,76.936
1993-05-01,77.036
1993-06-01,77.242
1993-07-01,77.428
1993-08-01,77.612
1993-09-01,77.794
1993-10-01,77.941
1993-11-01,78.148
1993-12-01,78.325
1994-01-01,78.59100000000001
1994-02-01,78.727
1994-03-01,78.855
1994-04-01,78.986
1994-05-01,79.221
1994-06-01,79.422
1994-07-01,79.594
1994-08-01,79.781
1994-09-01,79.918
1994-10-01,80.064
1994-11-01,80.149
1994-12-01,80.295
1995-01-01,80.426
1995-02-01,80.527
1995-03-01,80.598
1995-04-01,80.66
1995-05-01,80.704
1995-06-01,80.78399999999999
1995-07-01,80.937
1995-08-01,81.109
1995-09-01,81.306
1995-10-01,81.482
1995-11-01,81.619
1995-12-01,81.736
1996-01-01,81.834
1996-02-01,81.95299999999999
1996-03-01,82.194
1996-04-01,82.42
1996-05-01,82.609
1996-06-01,82.751
1996-07-01,82.928
1996-08-01,83.085
1996-09-01,83.256
1996-10-01,83.376
1996-11-01,83.552
1996-12-01,83.721
1997-01-01,83.955
1997-02-01,84.18
1997-03-01,84.45200000000001
1997-04-01,84.62200000000001
1997-05-01,84.86
1997-06-01,85.079
1997-07-01,85.331
1997-08-01,85.573
1997-09-01,85.85
1997-10-01,86.146
1997-11-01,86.632
1997-12-01,87.09200000000001
1998-01-01,87.61399999999999
1998-02-01,88.00200000000001
1998-03-01,88.441
1998-04-01,88.87799999999999
1998-05-01,89.363
1998-06-01,89.844
1998-07-01,90.309
1998-08-01,90.785
1998-09-01,91.258
1998-10-01,91.71700000000001
1998-11-01,92.199
1998-12-01,92.711
1999-01-01,93.20700000000001
1999-02-01,93.67
1999-03-01,94.21600000000001
1999-04-01,94.78399999999999
1999-05-01,95.34299999999999
1999-06-01,95.97399999999999
1999-07-01,96.59100000000001
1999-08-01,97.21799999999999
1999-09-01,97.86200000000001
1999-10-01,98.522
1999-11-01,99.154
1999-12-01,99.84299999999999
2000-01-01,100.551
2000-02-01,101.339
2000-03-01,102.126
2000-04-01,102.92299999999999
2000-05-01,103.678
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.382
2000-11-01,108.302
2000-12-01,109.14
2001-01-01,109.846
2001-02-01,110.501
2001-03-01,111.10799999999999
2001-04-01,111.65100000000001
2001-05-01,112.163
2001-06-01,112.796
2001-07-01,113.491
2001-08-01,114.166
2001-09-01,114.81200000000001
2001-10-01,115.31
2001-11-01,115.85700000000001
2001-12-01,116.455
2002-01-01,117.14299999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81299999999999
2002-07-01,122.88799999999999
2002-08-01,123.831
2002-09-01,124.78
2002-10-01,125.734
2002-11-01,126.669
2002-12-01,127.62299999999999
2003-01-01,128.461
2003-02-01,129.355
2003-03-01,130.14700000000002
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.969
2003-09-01,136.295
2003-10-01,137.533
2003-11-01,138.79399999999998
2003-12-01,140.18
2004-01-01,141.64700000000002
2004-02-01,143.192
2004-03-01,145.058
2004-04-01,146.593
2004-05-01,148.185
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.634
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19099999999997
2005-07-01,172.86
2005-08-01,174.44299999999998
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68099999999998
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.28799999999998
2006-03-01,184.365
2006-04-01,184.329
2006-05-01,184.155
2006-06-01,183.507
2006-07-01,183.067
2006-08-01,182.59400000000002
2006-09-01,182.798
2006-10-01,183.199
2006-11-01,183.61
2006-12-01,184.14
2007-01-01,184.517
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11599999999999
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.541
2008-03-01,170.054
2008-04-01,168.33900000000003
2008-05-01,166.66
2008-06-01,165.018
2008-07-01,163.56799999999998
2008-08-01,161.988
2008-09-01,160.309
2008-10-01,158.327
2008-11-01,156.141
2008-12-01,153.618
2009-01-01,151.506
2009-02-01,150.013
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.695
2009-06-01,148.09
2009-07-01,148.411
2009-08-01,148.27700000000002
2009-09-01,148.023
2009-10-01,147.84799999999998
2009-11-01,148.13299999999998
2009-12-01,147.929
2010-01-01,147.395
2010-02-01,145.632
2010-03-01,145.86
2010-04-01,146.40200000000002
2010-05-01,146.392
2010-06-01,145.719
2010-07-01,144.989
2010-08-01,143.912
2010-09-01,143.016
2010-10-01,142.528
2010-11-01,142.171
2010-12-01,142.06
2011-01-01,141.52200000000002
2011-02-01,140.351
2011-03-01,139.982
2011-04-01,140.009
2011-05-01,139.903
2011-06-01,139.859
2011-07-01,139.73
2011-08-01,139.308
2011-09-01,138.668
2011-10-01,137.952
2011-11-01,137.15200000000002
2011-12-01,136.674
2012-01-01,136.607
2012-02-01,136.532
2012-03-01,137.904
2012-04-01,139.155
2012-05-01,140.156
2012-06-01,141.031
2012-07-01,141.671
2012-08-01,142.28
2012-09-01,142.91
2012-10-01,143.60299999999998
2012-11-01,144.586
2012-12-01,145.504
2013-01-01,146.83
2013-02-01,147.784
2013-03-01,149.963
2013-04-01,151.52
2013-05-01,152.851
2013-06-01,154.19799999999998
2013-07-01,155.605
2013-08-01,156.966
2013-09-01,158.22799999999998
2013-10-01,159.24200000000002
2013-11-01,160.07299999999998
2013-12-01,160.994
2014-01-01,161.93200000000002
2014-02-01,162.52700000000002
2014-03-01,163.088
2014-04-01,163.39600000000002
2014-05-01,163.66299999999998
2014-06-01,164.053
2014-07-01,164.578
2014-08-01,165.217
2014-09-01,165.907
2014-10-01,166.644
2014-11-01,167.338
2014-12-01,168.05700000000002
2015-01-01,168.643
2015-02-01,169.135
2015-03-01,169.80599999999998
2015-04-01,170.304
2015-05-01,170.886
2015-06-01,171.453
2015-07-01,172.132
2015-08-01,172.938
2015-09-01,173.832
2015-10-01,174.797
2015-11-01,175.74599999999998
2015-12-01,176.554
2016-01-01,177.28099999999998
2016-02-01,177.65400000000002
2016-03-01,178.168
2016-04-01,178.768
2016-05-01,179.43
2016-06-01,180.06400000000002
2016-07-01,180.843
2016-08-01,181.86
2016-09-01,182.833
2016-10-01,183.75900000000001
2016-11-01,184.764
2016-12-01,185.725
2017-01-01,186.8
2017-02-01,187.30900000000003
2017-03-01,187.986
2017-04-01,188.72400000000002
2017-05-01,189.62900000000002
2017-06-01,190.51
2017-07-01,191.479
2017-08-01,192.71099999999998
2017-09-01,193.794
2017-10-01,194.817
2017-11-01,195.94299999999998
2017-12-01,197.14700000000002
2018-01-01,198.27
2018-02-01,199.192
2018-03-01,199.93
2018-04-01,200.642
2018-05-01,201.449
2018-06-01,202.27200000000002
2018-07-01,202.988
2018-08-01,203.804
2018-09-01,204.429
2018-10-01,205.13400000000001
2018-11-01,205.644
2018-12-01,206.09099999999998
2019-01-01,206.41099999999997
2019-02-01,206.766
2019-03-01,206.984
2019-04-01,207.495
2019-05-01,208.199
2019-06-01,208.765
2019-07-01,209.43599999999998
2019-08-01,210.31
2019-09-01,211.048
2019-10-01,211.82
2019-11-01,212.718
2019-12-01,213.774
2020-01-01,214.709
2020-02-01,215.671
2020-03-01,216.275
2020-04-01,216.815
2020-05-01,217.13
2020-06-01,217.845
2020-07-01,219.623
2020-08-01,222.71599999999998
2020-09-01,226.047
2020-10-01,229.78900000000002
2020-11-01,233.09099999999998
2020-12-01,236.21099999999998
2021-01-01,239.062
2021-02-01,242.03
2021-03-01,245.282
2021-04-01,249.11900000000003
2021-05-01,253.703
2021-06-01,258.76099999999997
2021-07-01,263.195
2021-08-01,267.322
2021-09-01,270.657
2021-10-01,273.743
2021-11-01,276.986
2021-12-01,280.863
2022-01-01,285.101
2022-02-01,290.603
2022-03-01,296.233
2022-04-01,300.749
2022-05-01,304.325
2022-06-01,305.395
2022-07-01,304.42900000000003
2022-08-01,302.04200000000003
2022-09-01,299.694
2022-10-01,298.99
2022-11-01,298.12
2022-12-01,297.078
