DATE,CUSR0000SEHF02
1989-01-01,96.800
1989-02-01,96.700
1989-03-01,97.100
1989-04-01,97.200
1989-05-01,96.300
1989-06-01,96.700
1989-07-01,97.400
1989-08-01,97.800
1989-09-01,97.100
1989-10-01,97.600
1989-11-01,97.500
1989-12-01,97.800
1990-01-01,97.800
1990-02-01,98.400
1990-03-01,98.500
1990-04-01,96.100
1990-05-01,95.100
1990-06-01,97.500
1990-07-01,96.300
1990-08-01,96.600
1990-09-01,97.300
1990-10-01,97.000
1990-11-01,98.400
1990-12-01,98.700
1991-01-01,99.700
1991-02-01,99.600
1991-03-01,98.600
1991-04-01,97.300
1991-05-01,98.200
1991-06-01,97.700
1991-07-01,98.200
1991-08-01,97.500
1991-09-01,98.000
1991-10-01,98.700
1991-11-01,100.100
1991-12-01,98.700
1992-01-01,99.000
1992-02-01,98.500
1992-03-01,97.000
1992-04-01,98.900
1992-05-01,98.200
1992-06-01,99.200
1992-07-01,99.900
1992-08-01,100.400
1992-09-01,101.700
1992-10-01,102.500
1992-11-01,105.000
1992-12-01,103.500
1993-01-01,103.200
1993-02-01,102.800
1993-03-01,104.100
1993-04-01,104.000
1993-05-01,105.700
1993-06-01,107.200
1993-07-01,107.400
1993-08-01,108.300
1993-09-01,108.900
1993-10-01,108.700
1993-11-01,108.300
1993-12-01,109.100
1994-01-01,108.900
1994-02-01,110.000
1994-03-01,112.500
1994-04-01,111.300
1994-05-01,109.400
1994-06-01,108.600
1994-07-01,108.100
1994-08-01,108.200
1994-09-01,107.500
1994-10-01,106.600
1994-11-01,105.700
1994-12-01,105.300
1995-01-01,105.000
1995-02-01,105.500
1995-03-01,105.400
1995-04-01,105.300
1995-05-01,103.200
1995-06-01,102.300
1995-07-01,102.500
1995-08-01,102.000
1995-09-01,101.900
1995-10-01,101.100
1995-11-01,99.500
1995-12-01,101.100
1996-01-01,102.700
1996-02-01,104.500
1996-03-01,102.700
1996-04-01,103.900
1996-05-01,107.500
1996-06-01,107.900
1996-07-01,108.600
1996-08-01,108.800
1996-09-01,108.100
1996-10-01,108.100
1996-11-01,110.500
1996-12-01,112.700
1997-01-01,118.500
1997-02-01,118.700
1997-03-01,114.600
1997-04-01,111.900
1997-05-01,109.400
1997-06-01,112.500
1997-07-01,113.200
1997-08-01,112.000
1997-09-01,114.500
1997-10-01,116.100
1997-11-01,117.700
1997-12-01,115.400
1998-01-01,113.300
1998-02-01,111.600
1998-03-01,114.000
1998-04-01,114.600
1998-05-01,114.000
1998-06-01,112.600
1998-07-01,112.200
1998-08-01,112.100
1998-09-01,111.300
1998-10-01,111.000
1998-11-01,110.100
1998-12-01,111.000
1999-01-01,110.500
1999-02-01,111.600
1999-03-01,111.100
1999-04-01,110.300
1999-05-01,110.100
1999-06-01,111.600
1999-07-01,112.500
1999-08-01,114.500
1999-09-01,117.500
1999-10-01,116.100
1999-11-01,116.400
1999-12-01,113.300
2000-01-01,114.400
2000-02-01,117.900
2000-03-01,118.900
2000-04-01,120.000
2000-05-01,121.100
2000-06-01,130.000
2000-07-01,135.100
2000-08-01,134.300
2000-09-01,141.400
2000-10-01,148.900
2000-11-01,146.100
2000-12-01,155.500
2001-01-01,181.300
2001-02-01,182.700
2001-03-01,177.600
2001-04-01,173.200
2001-05-01,173.700
2001-06-01,163.300
2001-07-01,155.700
2001-08-01,149.900
2001-09-01,142.600
2001-10-01,133.100
2001-11-01,134.000
2001-12-01,133.000
2002-01-01,131.100
2002-02-01,131.900
2002-03-01,132.500
2002-04-01,135.300
2002-05-01,135.500
2002-06-01,133.800
2002-07-01,133.900
2002-08-01,133.700
2002-09-01,135.000
2002-10-01,138.200
2002-11-01,139.500
2002-12-01,142.200
2003-01-01,144.600
2003-02-01,154.000
2003-03-01,176.500
2003-04-01,170.500
2003-05-01,168.400
2003-06-01,171.400
2003-07-01,170.800
2003-08-01,169.900
2003-09-01,171.400
2003-10-01,168.200
2003-11-01,164.900
2003-12-01,166.300
2004-01-01,170.800
2004-02-01,174.700
2004-03-01,170.700
2004-04-01,171.200
2004-05-01,173.100
2004-06-01,180.100
2004-07-01,181.900
2004-08-01,184.700
2004-09-01,181.800
2004-10-01,183.100
2004-11-01,194.200
2004-12-01,194.900
2005-01-01,187.900
2005-02-01,191.000
2005-03-01,190.400
2005-04-01,199.900
2005-05-01,199.900
2005-06-01,194.800
2005-07-01,201.200
2005-08-01,207.200
2005-09-01,233.400
2005-10-01,264.700
2005-11-01,262.400
2005-12-01,251.900
2006-01-01,254.300
2006-02-01,241.800
2006-03-01,230.200
2006-04-01,222.000
2006-05-01,219.600
2006-06-01,209.900
2006-07-01,208.900
2006-08-01,212.600
2006-09-01,219.500
2006-10-01,201.700
2006-11-01,211.300
2006-12-01,216.900
2007-01-01,213.557
2007-02-01,216.694
2007-03-01,223.399
2007-04-01,222.194
2007-05-01,222.760
2007-06-01,224.278
2007-07-01,218.714
2007-08-01,213.518
2007-09-01,213.698
2007-10-01,213.702
2007-11-01,215.290
2007-12-01,216.025
2008-01-01,214.073
2008-02-01,223.153
2008-03-01,232.879
2008-04-01,246.210
2008-05-01,259.948
2008-06-01,273.919
2008-07-01,289.890
2008-08-01,276.231
2008-09-01,255.664
2008-10-01,243.365
2008-11-01,232.007
2008-12-01,228.846
2009-01-01,223.325
2009-02-01,214.905
2009-03-01,204.324
2009-04-01,193.955
2009-05-01,183.394
2009-06-01,185.149
2009-07-01,185.124
2009-08-01,184.219
2009-09-01,182.685
2009-10-01,185.475
2009-11-01,191.664
2009-12-01,188.411
2010-01-01,194.326
2010-02-01,195.254
2010-03-01,192.898
2010-04-01,188.815
2010-05-01,190.306
2010-06-01,189.032
2010-07-01,190.506
2010-08-01,190.169
2010-09-01,188.451
2010-10-01,188.961
2010-11-01,182.383
2010-12-01,183.528
2011-01-01,182.484
2011-02-01,185.328
2011-03-01,184.366
2011-04-01,187.126
2011-05-01,188.553
2011-06-01,187.835
2011-07-01,185.552
2011-08-01,185.898
2011-09-01,185.902
2011-10-01,182.731
2011-11-01,179.561
2011-12-01,176.464
2012-01-01,172.835
2012-02-01,167.814
2012-03-01,167.159
2012-04-01,164.663
2012-05-01,159.982
2012-06-01,161.853
2012-07-01,162.360
2012-08-01,165.442
2012-09-01,165.675
2012-10-01,166.982
2012-11-01,171.420
2012-12-01,171.879
2013-01-01,170.334
2013-02-01,172.098
2013-03-01,171.313
2013-04-01,177.476
2013-05-01,182.106
2013-06-01,180.210
2013-07-01,176.617
2013-08-01,172.834
2013-09-01,173.461
2013-10-01,173.705
2013-11-01,172.428
2013-12-01,171.285
2014-01-01,177.970
2014-02-01,185.094
2014-03-01,199.036
2014-04-01,198.403
2014-05-01,194.968
2014-06-01,190.723
2014-07-01,189.901
2014-08-01,183.410
2014-09-01,183.770
2014-10-01,179.805
2014-11-01,177.935
2014-12-01,180.719
2015-01-01,177.216
2015-02-01,173.445
2015-03-01,170.331
2015-04-01,165.830
2015-05-01,164.630
2015-06-01,165.693
2015-07-01,162.954
2015-08-01,163.107
2015-09-01,161.840
2015-10-01,160.055
2015-11-01,157.639
2015-12-01,152.630
2016-01-01,153.802
2016-02-01,154.119
2016-03-01,154.292
2016-04-01,155.063
2016-05-01,156.609
2016-06-01,156.775
2016-07-01,163.007
2016-08-01,165.701
2016-09-01,166.820
2016-10-01,168.215
2016-11-01,167.549
2016-12-01,165.921
2017-01-01,168.669
2017-02-01,171.058
2017-03-01,170.545
2017-04-01,173.836
2017-05-01,176.577
2017-06-01,176.970
2017-07-01,175.428
2017-08-01,174.435
2017-09-01,173.191
2017-10-01,173.310
2017-11-01,172.872
2017-12-01,174.413
2018-01-01,170.458
2018-02-01,179.673
2018-03-01,178.008
2018-04-01,176.687
2018-05-01,175.261
2018-06-01,172.608
2018-07-01,172.600
2018-08-01,173.776
2018-09-01,169.603
2018-10-01,168.435
2018-11-01,167.955
2018-12-01,178.218
2019-01-01,177.863
2019-02-01,175.104
2019-03-01,175.718
2019-04-01,173.400
2019-05-01,170.558
2019-06-01,169.043
2019-07-01,167.606
2019-08-01,167.639
2019-09-01,165.015
2019-10-01,168.782
2019-11-01,169.700
2019-12-01,171.840
2020-01-01,172.147
2020-02-01,171.729
2020-03-01,170.807
2020-04-01,170.082
2020-05-01,169.894
2020-06-01,168.699
2020-07-01,167.086
2020-08-01,166.778
2020-09-01,171.247
2020-10-01,171.948
2020-11-01,177.048
2020-12-01,178.703
2021-01-01,179.572
2021-02-01,183.407
2021-03-01,187.810
2021-04-01,190.779
2021-05-01,192.796
2021-06-01,195.057
2021-07-01,198.866
2021-08-01,201.966
2021-09-01,206.424
2021-10-01,220.329
2021-11-01,221.330
2021-12-01,221.655
2022-01-01,222.673
2022-02-01,227.097
2022-03-01,228.485
2022-04-01,234.250
2022-05-01,251.078
2022-06-01,269.875
2022-07-01,259.543
2022-08-01,268.614
2022-09-01,274.585
2022-10-01,264.394
2022-11-01,255.370
2022-12-01,264.387
2023-01-01,282.229
